#{"t_start": 1755810326.851637, "env_id": "None"}
r,l,t
1134.733183,1000,697.793106
840.58531,584,698.082545
650.555857,526,698.345069
1029.531057,649,699.684104
642.960864,494,699.921585
1296.815989,1000,714.089088
786.229615,519,701.65468
1041.887036,1000,702.14678
1494.541685,909,702.629211
1342.105781,1000,703.984808
888.944313,775,704.370335
1209.27247,1000,705.917459
1084.673262,1000,706.394043
1210.546865,1000,707.856279
1208.603137,1000,708.345665
757.814734,531,709.518867
1108.325173,926,709.977279
1026.67846,1000,710.483006
429.874625,360,711.701427
642.85737,436,711.925926
1231.883177,1000,712.453456
748.148449,547,713.69728
1000.113739,1000,714.20008
1228.587474,1000,715.619697
1155.058662,1000,716.123688
803.576357,503,716.360489
1284.042641,1000,717.795449
705.607904,581,718.077092
1228.693692,1000,719.595462
1291.116355,1000,720.094784
1232.345543,1000,721.539407
1384.22657,1000,722.030386
1131.323845,1000,723.49113
796.23284,547,723.756465
598.944278,355,723.927945
1340.494808,1000,724.422099
535.26902,350,725.656095
1478.920307,1000,726.144514
1425.150775,1000,727.645705
1165.791582,1000,728.175031
1245.368604,1000,729.640825
1138.11594,1000,730.173482
591.676292,392,744.070607
1251.905694,1000,731.77663
1047.063291,748,732.173522
1064.148426,663,732.509428
1219.977677,951,733.886862
1303.630516,951,734.377378
1209.481228,1000,735.862134
1281.317946,1000,736.378097
1391.452489,1000,737.908595
876.148003,680,738.257094
833.048327,689,739.645682
1173.809819,976,740.155456
899.735473,641,740.546691
1419.369003,1000,742.075353
1191.225161,1000,742.591213
1251.570472,1000,744.093628
719.245324,585,744.386268
1065.292673,741,744.782007
1062.332327,927,746.251576
1293.741145,1000,746.78714
1006.572051,734,748.094611
785.836809,647,748.418078
1026.052899,1000,749.896174
1132.333661,1000,764.079145
794.28753,539,750.660726
1116.761318,1000,752.083244
1004.324292,780,752.462179
1205.923058,873,753.812871
968.030547,614,754.125733
1156.108695,973,754.638423
1306.132918,1000,756.171059
999.15594,1000,756.663277
1063.561466,1000,758.106211
1073.777317,1000,758.601654
1377.910804,1000,760.056738
554.01207,558,760.334428
1315.019262,1000,761.73487
820.688671,576,762.005731
483.986947,512,762.248877
506.713291,383,762.431009
653.038309,400,762.628602
582.707096,506,763.914177
1201.632281,1000,764.40144
604.647988,391,764.594551
912.900079,698,765.933131
1192.059595,969,766.398079
595.680899,409,766.600052
1238.702532,1000,768.021249
1024.751948,1000,768.542256
1265.869382,1000,769.938109
415.606611,357,770.108951
263.953084,260,770.23079
1187.247978,1000,771.714452
402.880646,301,771.888904
1158.103182,785,772.324551
1089.167088,1000,773.750774
1258.71073,1000,774.26505
1422.234625,1000,775.68562
791.056265,559,775.957853
1268.363934,1000,776.456702
1275.614184,1000,777.944103
941.706108,715,778.322573
952.167933,656,779.573084
1159.203281,1000,780.062608
1132.77023,1000,781.593557
1356.608336,1000,782.077123
1353.425837,1000,783.47927
1215.225138,1000,783.973358
1322.927973,1000,784.491547
611.513913,523,785.685747
673.666124,459,785.911119
1180.342262,1000,786.395252
539.379248,471,787.524768
378.403418,244,787.643291
871.052993,565,787.918885
1153.327365,1000,789.415095
1204.297803,1000,789.90736
1029.097112,1000,791.380954
1204.947843,1000,791.867459
1177.299625,1000,793.196462
678.598987,425,793.392587
971.316952,1000,793.884684
555.433911,410,794.084579
1047.106176,1000,809.214728
777.515221,517,795.771007
1107.955801,1000,797.221556
1192.273324,1000,797.704627
1201.445927,1000,799.219156
1110.642605,1000,799.718853
1216.946962,1000,801.137497
965.14535,992,801.636567
1290.683055,1000,803.078244
609.237586,422,803.281099
1230.209267,1000,803.810114
823.747477,614,805.117057
1174.186788,920,819.301457
713.177808,499,805.852663
1070.345382,835,807.207933
1221.804907,1000,807.73285
1294.067001,1000,809.093455
1259.370995,1000,809.579697
1253.281168,1000,811.021654
898.044207,554,811.290792
1119.821939,1000,811.804654
1065.184609,1000,813.194435
1246.537807,1000,813.683998
1033.367734,623,814.918988
1150.463368,1000,829.170283
1354.77921,1000,816.948767
1174.4004,1000,817.440677
1348.223666,1000,818.859074
1175.327311,1000,819.341462
1292.194507,1000,820.825992
1270.968847,1000,821.3225
1267.300242,1000,822.758567
1165.849911,1000,823.257831
1173.880252,1000,824.647226
1171.173931,1000,825.154338
1279.199806,1000,826.631113
1147.262598,1000,827.120615
1245.574657,1000,828.576318
1167.287602,1000,829.068349
1244.103902,1000,829.554508
1148.76847,1000,830.984806
1294.35366,1000,831.471113
733.05665,691,832.788994
971.221812,1000,833.282132
1004.133857,1000,834.733351
1193.967433,1000,835.251849
997.439191,1000,836.777327
1267.813641,890,837.273956
947.947346,742,838.689271
1188.755946,812,839.11635
1095.950921,756,839.480818
1088.279905,1000,840.871665
1202.399378,870,841.324633
1004.61134,1000,842.76078
1235.809802,1000,843.278443
973.626427,794,844.670371
1425.332189,1000,845.172373
